id_hex	decada	ocorrência
1694	1995	0
1841	1995	2
817	1995	2
1787	1995	3
349	1995	1
1889	1995	4
559	1995	0
872	1995	2
926	1995	4
1386	1995	2
664	1995	0
1839	1995	1
773	1995	1
920	1995	9
873	1995	11
1437	1995	9
922	1995	0
921	1995	1
569	1995	7
774	1995	0
1578	1995	5
1629	1995	1
1644	1995	0
2196	1995	1
2032	2005	0
916	2005	3
1888	2005	1
2142	2005	1
670	2005	10
1277	2005	1
1072	2005	0
824	2005	4
1594	2005	5
809	2005	1
1939	2005	1
1796	2005	3
918	2005	3
1372	2005	0
1426	2005	2
1381	2005	7
865	2005	8
407	2005	0
396	2005	0
291	2005	1
1378	2005	0
1074	2005	21
2243	2005	3
1628	2005	1
604	2005	1
762	2005	1
862	2005	11
971	2005	2
449	2005	2
705	2005	1
811	2005	3
1744	2005	2
2041	2005	0
2042	2005	3
502	2005	1
2093	2005	1
1587	2005	7
2244	2005	0
709	2005	0
606	2005	16
1334	2005	0
619	2005	0
400	2005	0
450	2005	0
810	2005	15
1837	2005	3
654	2005	2
655	2005	2
1073	2005	11
1730	2005	1
1330	2005	0
1279	2005	1
970	2005	8
1177	2005	1
345	2005	3
1071	2005	7
963	2005	1
863	2005	7
409	2005	0
759	2005	1
1592	2005	1
1737	2005	4
2241	2005	1
763	2005	0
459	2005	7
1373	2005	0
1875	2005	0
1281	2005	2
292	2005	2
1227	2005	1
1788	2005	0
241	2005	9
1742	2005	1
608	2005	1
509	2005	0
1789	2005	1
1021	2005	36
1023	2005	0
1795	2005	2
1691	2005	2
1280	2005	1
242	2005	1
1743	2005	3
1435	2005	2
765	2005	3
818	2005	1
344	2005	1
1383	2005	0
455	2005	0
2245	2005	1
812	2005	0
1635	2005	1
1333	2005	11
1228	2005	1
1176	2005	0
814	2005	0
507	2005	0
1488	2005	1
406	2005	2
1125	2005	2
350	2005	5
510	2005	0
924	2005	5
1844	2005	1
1745	2005	5
562	2005	3
1231	2005	42
508	2005	0
758	2005	1
1693	2005	6
766	2005	2
1692	2005	0
560	2005	0
457	2005	0
1685	2005	4
770	2005	0
1431	2005	0
1283	2005	27
1584	2005	9
1791	2005	3
659	2005	10
821	2005	3
713	2005	1
553	2005	5
1433	2005	4
721	2005	1
1738	2005	1
1792	2005	1
456	2005	0
974	2005	5
661	2005	0
1486	2005	9
1485	2005	0
1794	2005	2
716	2005	2
1845	2005	1
1282	2005	0
1786	2005	1
1634	2005	4
720	2005	1
1535	2005	0
1230	2005	5
405	2005	0
714	2005	1
1124	2005	4
454	2005	0
665	2005	0
819	2005	5
1126	2005	8
875	2005	0
1179	2005	7
561	2005	9
764	2005	0
1842	2005	2
1075	2005	24
1127	2005	61
1538	2005	0
870	2005	9
1436	2005	2
973	2005	6
1736	2005	6
1024	2005	4
823	2005	0
718	2005	0
1385	2005	3
1536	2005	0
1541	2005	1
1490	2005	15
616	2005	0
1178	2005	2
1229	2005	8
925	2005	10
612	2005	0
662	2005	0
669	2005	17
1489	2005	5
565	2005	0
972	2005	3
1637	2005	4
1686	2005	1
1838	2005	1
772	2005	0
874	2005	2
1840	2005	39
611	2005	2
668	2005	9
923	2005	1
1694	2005	2
1841	2005	5
817	2005	2
1787	2005	6
349	2005	1
1889	2005	5
559	2005	0
872	2005	2
926	2005	6
1386	2005	2
664	2005	0
1839	2005	4
773	2005	1
920	2005	9
873	2005	15
1437	2005	9
922	2005	1
921	2005	1
569	2005	7
774	2005	0
1578	2005	6
1629	2005	1
1644	2005	0
2196	2005	2
2032	2015	1
916	2015	3
1888	2015	1
2142	2015	1
670	2015	12
1277	2015	1
1072	2015	1
824	2015	6
1594	2015	5
809	2015	1
1939	2015	1
1796	2015	4
918	2015	3
1372	2015	0
1426	2015	2
1381	2015	15
865	2015	8
407	2015	0
396	2015	0
291	2015	1
1378	2015	0
1074	2015	24
2243	2015	3
1628	2015	3
604	2015	1
762	2015	1
862	2015	11
971	2015	2
449	2015	2
705	2015	1
811	2015	3
1744	2015	3
2041	2015	0
2042	2015	4
502	2015	1
2093	2015	1
1587	2015	7
2244	2015	0
709	2015	1
606	2015	16
1334	2015	1
619	2015	0
400	2015	2
450	2015	0
810	2015	15
1837	2015	3
654	2015	2
655	2015	2
1073	2015	16
1730	2015	1
1330	2015	4
1279	2015	2
970	2015	8
1177	2015	6
345	2015	3
1071	2015	7
963	2015	2
863	2015	7
409	2015	1
759	2015	1
1592	2015	1
1737	2015	4
2241	2015	1
763	2015	0
459	2015	7
1373	2015	6
1875	2015	0
1281	2015	2
292	2015	3
1227	2015	1
1788	2015	4
241	2015	9
1742	2015	1
